ticker,name,market,industry_code,industry_name
302440,SK바이오사이언스,KOSPI,211,기초 의약물질 및 생물학적 제제 제조업
326030,SK바이오팜,KOSPI,7011,자연과학 연구개발업
402340,SK스퀘어,KOSPI,64992,지주회사
361610,SK아이이테크놀로지,KOSPI,282,일차전지 및 축전지 제조업
100090,SK오션플랜트,KOSPI,2413,철강관 제조업
096770,SK이노베이션,KOSPI,192,석유 정제품 제조업
475150,SK이터닉스,KOSPI,411,건물 건설업
001510,SK증권,KOSPI,66121,증권 중개업
285130,SK케미칼,KOSPI,20202,합성수지 및 기타 플라스틱 물질 제조업
017670,SK텔레콤,KOSPI,61220,무선 및 위성 통신업
000660,SK하이닉스,KOSPI,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
003570,SNT다이내믹스,KOSPI,303,자동차 신품 부품 제조업
064960,SNT모티브,KOSPI,303,자동차 신품 부품 제조업
100840,SNT에너지,KOSPI,29176,"증류기, 열교환기 및 가스발생기 제조업"
036530,SNT홀딩스,KOSPI,64992,지주회사
005610,SPC삼립,KOSPI,108,동물용 사료 및 조제식품 제조업
011810,STX,KOSPI,46800,상품 종합 도매업
465770,STX그린로지스,KOSPI,501,해상 운송업
077970,STX엔진,KOSPI,29111,내연기관 제조업
002820,SUN&L,KOSPI,16211,"박판, 합판 및 유사 적층판 제조업"
084870,TBH글로벌,KOSPI,141,봉제의복 제조업
002710,TCC스틸,KOSPI,24191,"도금, 착색 및 기타 표면처리강재 제조업"
069260,TKG휴켐스,KOSPI,2049,그 외 기타 화학제품 제조업
007980,TP,KOSPI,141,봉제의복 제조업
002900,TYM,KOSPI,29210,농업 및 임업용 기계 제조업
024070,WISCOM,KOSPI,22299,그 외 기타 플라스틱 제품 제조업
037270,YG PLUS,KOSPI,631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
139130,iM금융지주,KOSPI,64992,지주회사
000500,가온전선,KOSPI,28302,기타 절연선 및 케이블 제조업
000860,강남제비스코,KOSPI,20411,일반용 도료 및 관련제품 제조업
035250,강원랜드,KOSPI,91249,기타 사행시설 관리 및 운영업
011420,갤럭시아에스엠,KOSPI,911,스포츠 서비스업
002100,경농,KOSPI,2032,살균․살충제 및 농약 제조업
009450,경동나비엔,KOSPI,28520,가정용 비전기식 조리 및 난방 기구 제조업
267290,경동도시가스,KOSPI,35200,연료용 가스 제조 및 배관공급업
012320,경동인베스트,KOSPI,649,기타 금융업
000050,경방,KOSPI,47119,기타 대형 종합 소매업
214390,경보제약,KOSPI,211,기초 의약물질 및 생물학적 제제 제조업
012610,경인양행,KOSPI,20132,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
009140,경인전자,KOSPI,2629,기타 전자부품 제조업
013580,계룡건설,KOSPI,412,토목 건설업
012200,계양전기,KOSPI,291,일반 목적용 기계 제조업
002140,고려산업,KOSPI,105,낙농제품 및 식용빙과류 제조업
010130,고려아연,KOSPI,24213,"연 및 아연 제련, 정련 및 합금 제조업"
002240,고려제강,KOSPI,2411,"제철, 제강 및 합금철 제조업"
009290,광동제약,KOSPI,21220,한의약품 제조업
017040,광명전기,KOSPI,28123,배전반 및 전기 자동제어반 제조업
017900,광전자,KOSPI,2612,"다이오드, 트랜지스터 및 유사 반도체소자 제조업"
037710,광주신세계,KOSPI,47111,백화점
030610,교보증권,KOSPI,66121,증권 중개업
339770,교촌에프앤비,KOSPI,46313,육류 도매업
007690,국도화학,KOSPI,20111,석유화학계 기초 화학물질 제조업
001140,국보,KOSPI,49301,일반 화물자동차 운송업
002720,국제약품,KOSPI,212,의약품 제조업
083420,그린케미칼,KOSPI,20421,계면활성제 제조업
014530,극동유화,KOSPI,19221,윤활유 및 그리스 제조업
014280,금강공업,KOSPI,2413,철강관 제조업
008870,금비,KOSPI,23192,포장용 유리용기 제조업
001570,금양,KOSPI,201,기초 화학물질 제조업
002990,금호건설,KOSPI,41112,아파트 건설업
011780,금호석유화학,KOSPI,201,기초 화학물질 제조업
214330,금호에이치티,KOSPI,303,자동차 신품 부품 제조업
001210,금호전기,KOSPI,28410,전구 및 램프 제조업
073240,금호타이어,KOSPI,221,고무제품 제조업
092440,기신정기,KOSPI,29293,인쇄 및 제책용 기계 제조업
000270,기아,KOSPI,30121,승용차 및 기타 여객용 자동차 제조업
024110,기업은행,KOSPI,64121,국내은행
013700,까뮤이앤씨,KOSPI,41121,사무․상업용 및 공공기관용 건물 건설업
004540,깨끗한나라,KOSPI,171,"펄프, 종이 및 판지 제조업"
001260,남광토건,KOSPI,41221,도로 건설업
008350,남선알미늄,KOSPI,24222,"알루미늄 압연, 압출 및 연신제품 제조업"
004270,남성,KOSPI,467,기타 전문 도매업
003920,남양유업,KOSPI,104,동물성 및 식물성 유지 제조업
025860,남해화학,KOSPI,20312,복합비료 및 기타 화학비료 제조업
005720,넥센,KOSPI,221,고무제품 제조업
002350,넥센타이어,KOSPI,221,고무제품 제조업
092790,넥스틸,KOSPI,2419,기타 1차 철강 제조업
251270,넷마블,KOSPI,5821,게임 소프트웨어 개발 및 공급업
090350,노루페인트,KOSPI,20411,일반용 도료 및 관련제품 제조업
000320,노루홀딩스,KOSPI,64992,지주회사
006280,녹십자,KOSPI,212,의약품 제조업
005250,녹십자홀딩스,KOSPI,715,회사 본부 및 경영 컨설팅 서비스업
004370,농심,KOSPI,108,동물용 사료 및 조제식품 제조업
072710,농심홀딩스,KOSPI,64992,지주회사
058730,다스코,KOSPI,25112,구조용 금속 판제품 및 공작물 제조업
030210,다올투자증권,KOSPI,66121,증권 중개업
023590,다우기술,KOSPI,631,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
145210,다이나믹디자인,KOSPI,292,특수 목적용 기계 제조업
483650,달바글로벌,KOSPI,20423,화장품 제조업
019680,대교,KOSPI,851,초등 교육기관
006370,대구백화점,KOSPI,47111,백화점
008060,대덕,KOSPI,64992,지주회사
353200,대덕전자,KOSPI,2622,인쇄회로기판 및 전자부품 실장기판 제조업
000490,대동,KOSPI,29210,농업 및 임업용 기계 제조업
008110,대동전자,KOSPI,264,통신 및 방송 장비 제조업
005750,대림바스,KOSPI,23222,위생용 및 산업용 도자기 제조업
006570,대림통상,KOSPI,25993,금속 위생용품 제조업
001680,대상,KOSPI,108,동물용 사료 및 조제식품 제조업
084690,대상홀딩스,KOSPI,64992,지주회사
128820,대성산업,KOSPI,477,연료 소매업
117580,대성에너지,KOSPI,35200,연료용 가스 제조 및 배관공급업
016710,대성홀딩스,KOSPI,715,회사 본부 및 경영 컨설팅 서비스업
003540,대신증권,KOSPI,66121,증권 중개업
009190,대양금속,KOSPI,24122,냉간 압연 및 압출 제품 제조업
014160,대영포장,KOSPI,1721,골판지 및 골판지 가공제품 제조업
047040,대우건설,KOSPI,41112,아파트 건설업
003090,대웅,KOSPI,212,의약품 제조업
069620,대웅제약,KOSPI,212,의약품 제조업
000430,대원강업,KOSPI,303,자동차 신품 부품 제조업
006340,대원전선,KOSPI,28302,기타 절연선 및 케이블 제조업
003220,대원제약,KOSPI,212,의약품 제조업
024890,대원화성,KOSPI,22214,플라스틱 합성피혁 제조업
002880,대유에이텍,KOSPI,303,자동차 신품 부품 제조업
012800,대창,KOSPI,24221,"동 압연, 압출 및 연신제품 제조업"
015230,대창단조,KOSPI,303,자동차 신품 부품 제조업
001070,대한방직,KOSPI,132,직물직조 및 직물제품 제조업
006650,대한유화,KOSPI,20111,석유화학계 기초 화학물질 제조업
001440,대한전선,KOSPI,28302,기타 절연선 및 케이블 제조업
084010,대한제강,KOSPI,2411,"제철, 제강 및 합금철 제조업"
001790,대한제당,KOSPI,105,낙농제품 및 식용빙과류 제조업
001130,대한제분,KOSPI,105,낙농제품 및 식용빙과류 제조업
439260,대한조선,KOSPI,3111,선박 및 수상 부유 구조물 건조업
003490,대한항공,KOSPI,511,항공 여객 운송업
005880,대한해운,KOSPI,50112,외항 화물 운송업
003830,대한화섬,KOSPI,20501,합성섬유 제조업
016090,대현,KOSPI,14112,여자용 겉옷 제조업
069460,대호에이엘,KOSPI,24222,"알루미늄 압연, 압출 및 연신제품 제조업"
475560,더본코리아,KOSPI,468,상품 종합 도매업
192080,더블유게임즈,KOSPI,5821,게임 소프트웨어 개발 및 공급업
012510,더존비즈온,KOSPI,62022,컴퓨터시설 관리업
004830,덕성,KOSPI,22214,플라스틱 합성피혁 제조업
145720,덴티움,KOSPI,27191,치과용 기기 제조업
002150,도화엔지니어링,KOSPI,72121,건물 및 토목 엔지니어링 서비스업
460850,동국씨엠,KOSPI,24122,냉간 압연 및 압출 제품 제조업
460860,동국제강,KOSPI,241,1차 철강 제조업
001230,동국홀딩스,KOSPI,649,기타 금융업
023450,동남합성,KOSPI,201,기초 화학물질 제조업
004140,동방,KOSPI,529,기타 운송관련 서비스업
007590,동방아그로,KOSPI,2032,살균․살충제 및 농약 제조업
005960,동부건설,KOSPI,412,토목 건설업
026960,동서,KOSPI,4632,가공식품 도매업
002210,동성제약,KOSPI,212,의약품 제조업
102260,동성케미컬,KOSPI,20202,합성수지 및 기타 플라스틱 물질 제조업
000640,동아쏘시오홀딩스,KOSPI,64992,지주회사
170900,동아에스티,KOSPI,212,의약품 제조업
028100,동아지질,KOSPI,421,기반조성 및 시설물 축조관련 전문공사업
001520,동양,KOSPI,23322,레미콘 제조업
084670,동양고속,KOSPI,49220,시외버스 운송업
082640,동양생명,KOSPI,65110,생명 보험업
018500,동원금속,KOSPI,303,자동차 신품 부품 제조업
006040,동원산업,KOSPI,64992,지주회사
030720,동원수산,KOSPI,03111,선박 및 수상 부유 구조물 건조업
014820,동원시스템즈,KOSPI,222,플라스틱제품 제조업
111380,동인기연,KOSPI,151,"가죽, 가방 및 유사제품 제조업"
163560,동일고무벨트,KOSPI,2219,기타 고무제품 제조업
004890,동일산업,KOSPI,24113,합금철 제조업
002690,동일제강,KOSPI,24122,냉간 압연 및 압출 제품 제조업
000020,동화약품,KOSPI,212,의약품 제조업
000150,두산,KOSPI,64992,지주회사
454910,두산로보틱스,KOSPI,2928,산업용 로봇 제조업
241560,두산밥캣,KOSPI,29241,건설 및 채광용 기계장비 제조업
034020,두산에너빌리티,KOSPI,29119,기타 기관 및 터빈 제조업
336260,두산퓨얼셀,KOSPI,28111,전동기 및 발전기 제조업
016740,두올,KOSPI,303,자동차 신품 부품 제조업
192650,드림텍,KOSPI,2629,기타 전자부품 제조업
024090,디씨엠,KOSPI,2419,기타 1차 철강 제조업
003160,디아이,KOSPI,27212,"전자기 측정, 시험 및 분석기구 제조업"
092200,디아이씨,KOSPI,303,자동차 신품 부품 제조업
377190,디앤디플랫폼리츠,KOSPI,681,부동산 임대 및 공급업
013570,디와이,KOSPI,64992,지주회사
024900,디와이덕양,KOSPI,303,자동차 신품 부품 제조업
210540,디와이파워,KOSPI,29241,건설 및 채광용 기계장비 제조업
032350,롯데관광개발,KOSPI,75210,여행사업
089860,롯데렌탈,KOSPI,76110,자동차 임대업
330590,롯데리츠,KOSPI,681,부동산 임대 및 공급업
000400,롯데손해보험,KOSPI,65121,손해 보험업
023530,롯데쇼핑,KOSPI,47111,백화점
020150,롯데에너지머티리얼즈,KOSPI,2629,기타 전자부품 제조업
